Fecha,Hombre_Público,Mujeres_Público,Hombre_Privado,Mujeres_Privado
2019-01,349815,421218,4705585,3285723
2019-02,363375,431564,4785442,3382210
2019-03,366971,434818,4810439,3409373
2019-04,367802,435643,4799486,3419117
2019-05,369250,437511,4838978,3433648
2019-06,370339,438682,4813468,3428128
2019-07,367050,444312,4855438,3449650
2019-08,369838,439589,4886065,3473616
2019-09,366040,435483,4927423,3509166
2019-10,378704,462482,4968683,3540819
2019-11,372345,443053,4982224,3557462
2019-12,365376,436112,4892969,3483355
2020-01,354735,425516,4823170,3383104
2020-02,368029,436283,4894584,3494070
2020-03,371086,439100,4820787,3496161
2020-04,368737,436654,4392611,3279338
2020-05,369349,437497,4444073,3214210
2020-06,368473,436661,4479602,3191626
2020-07,362304,435874,4547317,3205446
2020-08,369660,441531,4574005,3213503
2020-09,374364,444429,4659394,3261761
2020-10,375176,445120,4723551,3316788
2020-11,377915,447290,4771071,3368974
2020-12,374153,444917,4734686,3361806
2021-01,358234,429338,4684013,3256179
2021-02,371744,441318,4785143,3366495
2021-03,376656,445167,4845832,3441213
2021-04,378558,447204,4852752,3476335
2021-05,378498,447587,4803524,3471650
2021-06,380138,449227,4846183,3497320
2021-07,374130,446582,4913155,3538936
2021-08,380906,453171,4970188,3581548
2021-09,380528,452739,4886612,3552958
2021-10,381459,454167,4915590,3585240
2021-11,385206,461754,4951102,3619250
2021-12,383997,463558,4865928,3569505
2022-01,371589,447989,4822832,3506466
2022-02,381656,454790,4912726,3619175
2022-03,389460,475107,4970011,3672121
2022-04,380989,455127,4950397,3673094
2022-05,387070,471714,4988386,3699523
2022-06,385556,471226,4981380,3702291
2022-07,371424,448499,4992661,3709363
2022-08,379991,455156,5042821,3754455
2022-09,381529,456663,5059712,3776253
2022-10,384621,458432,5041844,3772711
2022-11,384616,459001,4880763,3639225
2022-12,381450,458878,4769085,3548493
2023-01,363537,440409,4746674,3490026
2023-02,379416,452570,4843572,3640096
2023-03,382909,457374,4868862,3669026
2023-04,384051,459125,4838032,3658478
2023-05,385137,461224,4843784,3664806
2023-06,386648,463849,4810200,3640949
2023-07,376423,466148,4789148,3630020
2023-08,378403,454937,4817986,3651850
2023-09,380549,456123,4960367,3774566
2023-10,388762,483234,4947614,3768638
2023-11,387558,477401,4934252,3762404
2023-12,375807,453275,4814263,3651857
2024-01,361260,442496,4749298,3561068
2024-02,374999,447422,4808777,3652742
2024-03,376518,447033,4735659,3642310
2024-04,379606,450798,4789115,3692504
2024-05,380422,451991,4772131,3687263
2024-06,379231,451629,4726483,3653658
2024-07,367081,444039,4738470,3656697
2024-08,381957,454589,4723586,3651626
2024-09,383772,456828,4714356,3653193
2024-10,384834,458578,4740720,3667891
2024-11,385080,460011,4719473,3657552
2024-12,366905,431946,4610235,3547375
2025-01,361033,438561,4611071,3506211
2025-02,379490,453241,4645802,3593421
2025-03,382414,456276,4645971,3616107
2025-04,382910,457539,4616048,3604774
2025-05,382304,456815,4447099,3467240
