Mes,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Enero,1.17,0.89,0.82,0.54,0.77,1.06,0.59,0.69,0.91,0.73,0.30,0.49,0.64,1.29,1.02,0.63,0.60,0.42,0.41,1.67,1.78,0.92,0.94
Febrero,1.11,1.20,1.02,0.66,1.17,1.51,0.84,0.83,0.60,0.61,0.44,0.63,1.15,1.28,1.01,0.71,0.57,0.67,0.64,1.63,1.66,1.09,1.14
Marzo,1.05,0.98,0.77,0.70,1.21,0.81,0.50,0.25,0.27,0.12,0.21,0.39,0.59,0.94,0.47,0.24,0.43,0.57,0.51,1.00,1.05,0.70,0.52
Abril,1.15,0.46,0.44,0.45,0.90,0.71,0.32,0.46,0.12,0.14,0.25,0.46,0.54,0.50,0.47,0.46,0.50,0.16,0.59,1.25,0.78,0.59,0.66
Mayo,0.49,0.38,0.41,0.33,0.30,0.93,0.01,0.10,0.28,0.30,0.28,0.48,0.26,0.51,0.23,0.25,0.31,-0.32,1.00,0.84,0.43,0.43,0.32
Junio,-0.05,0.60,0.40,0.30,0.12,0.86,-0.06,0.11,0.32,0.08,0.23,0.09,0.10,0.48,0.11,0.15,0.27,-0.38,-0.05,0.51,0.30,0.32,0.10
Julio,-0.14,-0.03,0.05,0.41,0.17,0.48,-0.04,-0.04,0.14,-0.02,0.04,0.15,0.19,0.52,-0.05,-0.13,0.22,0.00,0.32,0.81,0.50,0.20,0.28
Agosto,0.31,0.03,0.00,0.39,-0.13,0.19,0.04,0.11,-0.03,0.04,0.08,0.20,0.48,-0.32,0.14,0.12,0.09,-0.01,0.45,1.02,0.70,0.00,
Septiembre,0.22,0.30,0.43,0.29,0.08,-0.19,-0.11,-0.14,0.31,0.29,0.29,0.14,0.72,-0.05,0.04,0.16,0.23,0.32,0.38,0.93,0.54,0.24,
Octubre,0.06,-0.01,0.23,-0.14,0.01,0.35,-0.13,-0.09,0.19,0.16,-0.26,0.16,0.68,-0.06,0.02,0.12,0.16,-0.06,0.01,0.72,0.25,-0.13,
Noviembre,0.35,0.28,0.11,0.24,0.47,0.28,-0.07,0.19,0.14,-0.14,-0.22,0.13,0.60,0.11,0.18,0.12,0.10,-0.15,0.50,0.77,0.47,0.27,
Diciembre,0.61,0.30,0.07,0.23,0.49,0.44,0.08,0.65,0.42,0.09,0.26,0.27,0.62,0.42,0.38,0.30,0.26,0.38,0.73,1.26,0.45,0.46,
En año corrido,6.49,5.50,4.85,4.48,5.69,7.67,2.00,3.17,3.73,2.44,1.94,3.66,6.77,5.75,4.09,3.18,3.80,1.61,5.62,13.12,9.28,5.20,4.02
