Fecha,Dependientes,Independientes
2019-01,"8,801,553","2,146,660"
2019-02,"9,007,416","2,227,368"
2019-03,"9,070,089","2,275,069"
2019-04,"9,073,488","2,292,687"
2019-05,"9,134,022","2,321,733"
2019-06,"9,106,939","2,353,819"
2019-07,"9,175,911","2,373,182"
2019-08,"9,231,152","2,389,135"
2019-09,"9,302,983","2,403,129"
2019-10,"9,419,025","2,417,080"
2019-11,"9,424,698","2,402,197"
2019-12,"9,246,314","2,323,462"
2020-01,"9,057,208","2,188,848"
2020-02,"9,270,259","2,259,732"
2020-03,"9,204,859","2,269,397"
2020-04,"8,540,570","2,207,327"
2020-05,"8,531,290","2,217,896"
2020-06,"8,545,785","2,233,511"
2020-07,"8,623,425","2,255,888"
2020-08,"8,673,160","2,274,108"
2020-09,"8,819,370","2,315,768"
2020-10,"8,944,620","2,352,532"
2020-11,"9,052,557","2,375,945"
2020-12,"9,003,123","2,346,332"
2021-01,"8,817,415","2,193,441"
2021-02,"9,059,360","2,262,747"
2021-03,"9,206,494","2,324,578"
2021-04,"9,254,214","2,349,760"
2021-05,"9,198,923","2,360,003"
2021-06,"9,272,657","2,377,476"
2021-07,"9,375,989","2,393,595"
2021-08,"9,514,020","2,417,648"
2021-09,"9,643,669","2,442,105"
2021-10,"9,731,876","2,462,088"
2021-11,"9,841,974","2,480,523"
2021-12,"9,724,893","2,438,119"
2022-01,"9,594,234","2,373,106"
2022-02,"9,839,873","2,458,198"
2022-03,"10,010,695","2,486,739"
2022-04,"9,985,441","2,485,699"
2022-05,"10,102,978","2,495,353"
2022-06,"10,126,353","2,487,225"
2022-07,"10,136,108","2,491,391"
2022-08,"10,279,874","2,511,043"
2022-09,"10,352,692","2,539,684"
2022-10,"10,360,810","2,552,520"
2022-11,"10,079,782","2,559,417"
2022-12,"9,889,101","2,495,938"
2023-01,"9,758,673","2,307,215"
2023-02,"10,065,767","2,425,997"
2023-03,"10,153,703","2,476,813"
2023-04,"10,127,669","2,485,561"
2023-05,"10,161,310","2,505,007"
2023-06,"10,121,155","2,526,706"
2023-07,"10,101,825","2,536,237"
2023-08,"10,178,635","2,554,170"
2023-09,"10,495,150","2,577,630"
2023-10,"10,537,046","2,588,289"
2023-11,"10,537,138","2,583,595"
2023-12,"10,276,044","2,509,667"
2024-01,"10,085,440","2,284,409"
2024-02,"10,283,091","2,391,806"
2024-03,"10,200,180","2,459,988"
2024-04,"10,350,301","2,502,374"
2024-05,"10,335,294","2,528,427"
2024-06,"10,262,300","2,543,324"
2024-07,"10,287,775","2,554,430"
2024-08,"10,313,106","2,590,438"
2024-09,"10,331,187","2,632,895"
2024-10,"10,409,298","2,669,265"
2024-11,"10,410,836","2,688,312"
2024-12,"10,152,135","2,620,418"
2025-01,"10,115,730","2,394,253"
2025-02,"10,295,677","2,502,497"
2025-03,"10,348,402","2,560,123"
2025-04,"10,330,678","2,561,559"
2025-05,-,-
